"","qumn","province","nhh","a4","a5","a6","MajMin","a9_1","a10","b6","c6","c11_1","c12","c32","d36aa","v1501","t101","t104","t116","t122","v1501.1","v1511","b1","b3","b4","b5","b6.1"
"9156",43680,"64",5,2,25,2,1,4,4,1,2,8,15,10,11298.6,7800,2,2,3200,635,7800,500,1,2,NA,NA,1
"9157",43680,"64",5,2,23,2,1,1,4,1,2,6,12,10,11298.6,7800,2,2,3200,635,7800,500,1,2,NA,NA,1
"9158",43680,"64",5,2,48,1,1,1,4,NA,3,5,7,10,11298.6,7800,2,2,3200,635,7800,500,1,1,NA,NA,NA
"9159",43680,"64",5,1,50,1,1,1,1,NA,3,5,7,10,11298.6,7800,2,2,3200,635,7800,500,1,1,NA,NA,NA
"9160",43686,"64",6,1,57,1,1,1,4,2,4,1,NA,11,7667.16666666667,6496,1,2,4266,556,6496,3200,6,1,2,2,2
"9161",43686,"64",6,2,54,1,1,1,4,2,4,1,NA,11,7667.16666666667,6496,1,2,4266,556,6496,3200,6,1,2,2,2
"9162",43686,"64",6,1,30,1,1,1,4,1,4,5,8,11,7667.16666666667,6496,1,2,4266,556,6496,3200,1,1,1,2,1
"9163",43686,"64",6,2,32,1,1,1,4,2,4,5,8,11,7667.16666666667,6496,1,2,4266,556,6496,3200,1,1,2,2,2
"9164",43692,"64",5,1,42,1,1,1,4,1,4,5,9,9,7787,6496,1,2,4266,556,6496,3200,8,1,NA,NA,1
"9165",43692,"64",5,2,16,2,1,1,4,NA,2,6,10,9,7787,6496,1,2,4266,556,6496,3200,2,NA,NA,NA,NA
"9166",43692,"64",5,2,39,1,1,1,4,2,4,2,NA,9,7787,6496,1,2,4266,556,6496,3200,6,1,NA,NA,2
"9167",43698,"64",2,2,58,1,1,1,4,2,4,4,5,12,8603.5,6496,1,2,4266,556,6496,3200,6,1,2,NA,2
"9168",43698,"64",2,1,58,1,1,1,1,2,3,4,5,12,8603.5,6496,1,2,4266,556,6496,3200,6,1,2,NA,2
"9169",43704,"64",3,1,25,2,1,1,4,1,3,3,NA,9,13870.6666666667,6496,1,2,4266,556,6496,3200,8,2,2,2,1
"9170",43704,"64",3,1,51,1,1,1,4,1,4,5,NA,9,13870.6666666667,6496,1,2,4266,556,6496,3200,8,1,2,2,1
"9171",43704,"64",3,2,49,1,1,1,4,2,4,4,NA,9,13870.6666666667,6496,1,2,4266,556,6496,3200,6,1,2,2,2
"9172",43710,"64",3,2,48,1,1,1,4,2,4,5,7,9,34072.3333333333,6496,1,2,4266,556,6496,3200,6,1,2,2,2
"9173",43710,"64",3,1,22,2,1,1,4,1,3,5,9,9,34072.3333333333,6496,1,2,4266,556,6496,3200,1,2,2,1,1
"9174",43710,"64",3,1,49,1,1,1,4,1,3,5,7,9,34072.3333333333,6496,1,2,4266,556,6496,3200,1,1,2,1,1
"9175",43716,"64",4,1,45,1,1,1,4,1,3,4,6,7,22057.75,7680,1,2,4800,325,7680,4600,1,1,2,1,1
"9176",43716,"64",4,2,43,1,1,1,4,2,4,4,6,7,22057.75,7680,1,2,4800,325,7680,4600,6,1,1,2,2
"9177",43716,"64",4,1,20,2,1,1,4,1,3,5,9,7,22057.75,7680,1,2,4800,325,7680,4600,1,2,2,1,1
"9178",43716,"64",4,1,18,1,1,1,4,1,3,5,9,7,22057.75,7680,1,2,4800,325,7680,4600,1,2,2,1,1
"9179",43722,"64",5,1,22,2,1,1,4,2,3,4,5,12,16223.2,6496,1,2,4266,556,6496,3200,8,2,2,1,2
"9180",43722,"64",5,1,49,1,1,1,4,1,4,5,9,12,16223.2,6496,1,2,4266,556,6496,3200,1,1,1,2,1
"9181",43722,"64",5,2,50,1,1,1,4,2,4,4,5,12,16223.2,6496,1,2,4266,556,6496,3200,1,1,2,2,2
"9182",43722,"64",5,1,21,2,1,1,4,1,3,4,5,12,16223.2,6496,1,2,4266,556,6496,3200,6,2,NA,2,1
