"","qumn","province","nhh","a4","a5","a6","MajMin","a9_1","a10","b6","c6","c11_1","c12","c32","d36aa","v1501","t101","t104","t116","v1501.1","v1511","b6.1","b6_1","b13_1","b14","b15","e31","v1409","t122","v1601","v1602","v1611","v1621","v1631","v1641","v1511.1","v1501.2"
"121",2160,"63",3,1,49,1,1,1,4,2,1,5,7,13.8000001907349,6716,6439,3,2,3780,6439,3000,2,NA,NA,NA,NA,NA,1,272,1,40,1,1,1,1,3000,6439
"122",2160,"63",3,2,20,2,1,1,4,1,1,5,8,13.8000001907349,6716,6439,3,2,3780,6439,3000,1,6,2008,NA,NA,63,1,272,1,40,1,1,1,1,3000,6439
"123",2164,"63",4,2,38,1,1,1,4,2,2,1,NA,12.1999998092651,12750,6439,3,2,3780,6439,3000,2,NA,NA,NA,NA,NA,1,272,1,40,1,1,1,1,3000,6439
"124",2164,"63",4,1,20,2,1,1,4,2,1,12,13.5,12.1999998092651,12750,6439,3,2,3780,6439,3000,2,NA,NA,NA,NA,NA,1,272,1,40,1,1,1,1,3000,6439
"125",2164,"63",4,1,41,1,1,1,4,2,1,4,3,12.1999998092651,12750,6439,3,2,3780,6439,3000,2,NA,NA,NA,NA,NA,1,272,1,40,1,1,1,1,3000,6439
"126",2164,"63",4,2,18,2,1,1,2,NA,1,5,7,12.1999998092651,12750,6439,3,2,3780,6439,3000,NA,NA,NA,NA,NA,NA,1,272,1,40,1,1,1,1,3000,6439
"127",2168,"63",5,2,22,2,1,1,4,2,1,4,5,18.7000007629395,3618.4,6439,3,2,3780,6439,3000,2,NA,NA,NA,NA,NA,1,272,1,40,1,1,1,1,3000,6439
"128",2168,"63",5,2,43,1,1,1,4,2,2,4,3,18.7000007629395,3618.4,6439,3,2,3780,6439,3000,2,NA,NA,NA,NA,NA,1,272,1,40,1,1,1,1,3000,6439
"129",2168,"63",5,1,48,1,1,1,4,1,1,5,7,18.7000007629395,3618.4,6439,3,2,3780,6439,3000,1,2,2007,NA,2007,63,1,272,1,40,1,1,1,1,3000,6439
"130",2168,"63",5,1,20,2,1,1,4,1,1,4,5,18.7000007629395,3618.4,6439,3,2,3780,6439,3000,1,4,2010,NA,2010,63,1,272,1,40,1,1,1,1,3000,6439
"131",2172,"63",4,1,25,2,1,1,4,1,1,5,7,13.3999996185303,9363.5,6439,3,2,3780,6439,3000,1,5,2009,4,2009,63,1,272,1,40,1,1,1,1,3000,6439
"132",2172,"63",4,2,45,1,1,1,4,2,2,5,7,13.3999996185303,9363.5,6439,3,2,3780,6439,3000,2,NA,NA,NA,NA,NA,1,272,1,40,1,1,1,1,3000,6439
"133",2172,"63",4,1,50,1,1,1,4,2,1,5,8,13.3999996185303,9363.5,6439,3,2,3780,6439,3000,2,NA,NA,NA,NA,NA,1,272,1,40,1,1,1,1,3000,6439
"134",2172,"63",4,1,23,2,1,1,4,1,1,8,13,13.3999996185303,9363.5,6439,3,2,3780,6439,3000,1,12,2009,4,2009,63,1,272,1,40,1,1,1,1,3000,6439
"135",2176,"63",6,1,48,1,1,1,4,2,3,5,7,20.1000003814697,4036,6439,3,2,3780,6439,3000,2,NA,NA,NA,NA,NA,1,272,1,40,1,1,1,1,3000,6439
"136",2176,"63",6,2,21,1,1,1,4,2,1,5,8,20.1000003814697,4036,6439,3,2,3780,6439,3000,2,NA,NA,NA,NA,NA,1,272,1,40,1,1,1,1,3000,6439
"137",2176,"63",6,2,44,1,1,1,4,2,1,4,3,20.1000003814697,4036,6439,3,2,3780,6439,3000,2,NA,NA,NA,NA,NA,1,272,1,40,1,1,1,1,3000,6439
