"","qumn","province","nhh","a4","a5","a6","MajMin","a9_1","a10","c6","c11_1","c12","c32","d36aa","v1501","t101","t104","t116","t122","v1501.1","v1511","b06","b11","b01","b02","CookMthd","b04","b05","a16","a18","h28","h29","a19","a20","a17","a21"
"120",6480,"63",3,2,46,1,1,1,4,2,1,NA,13.8000001907349,6716,6439,3,2,3780,272,6439,3000,105,54000,2,3,"Firewood",2,3,1,5,3,NA,NA,NA,1,NA
"121",6480,"63",3,1,49,1,1,1,4,1,5,7,13.8000001907349,6716,6439,3,2,3780,272,6439,3000,105,54000,2,3,"Firewood",2,3,1,3,3,NA,1,15,1,NA
"122",6480,"63",3,2,20,2,1,1,4,1,5,8,13.8000001907349,6716,6439,3,2,3780,272,6439,3000,105,54000,2,3,"Firewood",2,3,1,3,3,NA,NA,10,1,NA
"123",6492,"63",4,2,38,1,1,1,4,2,1,NA,12.1999998092651,12750,6439,3,2,3780,272,6439,3000,95,56000,2,3,"Firewood",2,3,1,5,2,NA,NA,NA,1,2
"124",6492,"63",4,1,20,2,1,1,4,1,12,13.5,12.1999998092651,12750,6439,3,2,3780,272,6439,3000,95,56000,2,3,"Firewood",2,3,1,3,2,NA,NA,NA,1,2
"125",6492,"63",4,1,41,1,1,1,4,1,4,3,12.1999998092651,12750,6439,3,2,3780,272,6439,3000,95,56000,2,3,"Firewood",2,3,1,3,2,NA,1,15,1,2
"126",6492,"63",4,2,18,2,1,1,2,1,5,7,12.1999998092651,12750,6439,3,2,3780,272,6439,3000,95,56000,2,3,"Firewood",2,3,1,3,2,NA,1,10,1,2
"127",6504,"63",5,2,22,2,1,1,4,1,4,5,18.7000007629395,3618.4,6439,3,2,3780,272,6439,3000,105,58000,2,3,"Firewood",2,3,1,5,3,NA,1,10,1,2
"128",6504,"63",5,2,43,1,1,1,4,2,4,3,18.7000007629395,3618.4,6439,3,2,3780,272,6439,3000,105,58000,2,3,"Firewood",2,3,1,3,3,NA,NA,NA,1,2
"129",6504,"63",5,1,48,1,1,1,4,1,5,7,18.7000007629395,3618.4,6439,3,2,3780,272,6439,3000,105,58000,2,3,"Firewood",2,3,1,3,3,NA,1,15,1,2
"130",6504,"63",5,1,20,2,1,1,4,1,4,5,18.7000007629395,3618.4,6439,3,2,3780,272,6439,3000,105,58000,2,3,"Firewood",2,3,1,5,3,NA,1,10,1,2
"131",6516,"63",4,1,25,2,1,1,4,1,5,7,13.3999996185303,9363.5,6439,3,2,3780,272,6439,3000,120,64000,2,3,"Firewood",2,3,1,2,2,NA,1,10,1,2
"132",6516,"63",4,2,45,1,1,1,4,2,5,7,13.3999996185303,9363.5,6439,3,2,3780,272,6439,3000,120,64000,2,3,"Firewood",2,3,1,3,2,NA,NA,NA,1,NA
"133",6516,"63",4,1,50,1,1,1,4,1,5,8,13.3999996185303,9363.5,6439,3,2,3780,272,6439,3000,120,64000,2,3,"Firewood",2,3,1,5,2,NA,1,20,1,2
"134",6516,"63",4,1,23,2,1,1,4,1,8,13,13.3999996185303,9363.5,6439,3,2,3780,272,6439,3000,120,64000,2,3,"Firewood",2,3,1,2,2,NA,2,15,1,2
"135",6528,"63",6,1,48,1,1,1,4,3,5,7,20.1000003814697,4036,6439,3,2,3780,272,6439,3000,100,56000,2,3,"Firewood",2,3,1,3,2,NA,1,15,1,2
"136",6528,"63",6,2,21,1,1,1,4,1,5,8,20.1000003814697,4036,6439,3,2,3780,272,6439,3000,100,56000,2,3,"Firewood",2,3,1,10,2,NA,NA,NA,1,2
"137",6528,"63",6,2,44,1,1,1,4,1,4,3,20.1000003814697,4036,6439,3,2,3780,272,6439,3000,100,56000,2,3,"Firewood",2,3,1,5,2,NA,NA,NA,1,2
"138",6528,"63",6,1,22,1,1,1,4,1,5,8,20.1000003814697,4036,6439,3,2,3780,272,6439,3000,100,56000,2,3,"Firewood",2,3,1,2,2,NA,1,10,1,2
"139",6528,"63",6,1,24,2,1,1,4,2,5,8,20.1000003814697,4036,6439,3,2,3780,272,6439,3000,100,56000,2,3,"Firewood",2,3,1,2,2,NA,1,10,1,2
"140",6540,"63",5,1,49,1,1,1,4,1,5,8,5.40000009536743,10500.4,4200,3,2,3700,410,4200,2600,140,30000,2,3,"Coal",2,1,1,5,3,NA,2,15,1,2
